UFI,PFI,LGA_CODE,LGA_NAME,GAZ_LGA,GAZREGN,ABSLGACODE,TASK_ID,PFI_CR,UFI_OLD,UFI_CR,LABEL_USE_,station_count
848225047,"379","379",FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),,"29399",,,468592577,2024/05/27,4,0
849561941,"367","367",TOWONG,TOWONG SHIRE,G042 1996 p2787,"26670",,,817074768,2024/06/03,1,5
849561943,"374","374",WODONGA,WODONGA CITY,G042 2015 p2266,"27170",85539,,842441532,2024/06/03,4,1
849561942,"334","334",INDIGO,INDIGO SHIRE,G042 2015 p2266,"23350",85539,,842441531,2024/06/03,2,5
853386390,"329","329",HEPBURN,HEPBURN SHIRE,S002 1995 p12,"22910",,,841274226,2024/07/04,2,4
856190179,"375","375",WYNDHAM,WYNDHAM CITY,S097 1994 p31,"27260",,,855324518,2024/09/06,4,2
856190173,"353","353",MOUNT ALEXANDER,MOUNT ALEXANDER SHIRE,S002 1995 p21,"25430",,,853386388,2024/09/06,2,3
496998897,"124107199","386",FALLS CREEK ALPINE RESORT (UNINC),FALLS CREEK ALPINE RESORT (UNINCORPORATED),,"29399",,2004/12/17,496831851,2015/05/18,5,1
492682892,"124107196","387",MOUNT STIRLING ALPINE RESORT (UNINC),MOUNT STIRLING ALPINE RESORT (UNINCORPORATED),,"29399",,2004/12/17,468592522,2015/01/20,5,0
857371171,"313","313",CENTRAL GOLDFIELDS,CENTRAL GOLDFIELDS SHIRE,S002 1995 p9,"21670",,,843399868,2024/10/04,2,2
857371184,"335","335",KINGSTON,KINGSTON CITY,G050 2023 p2364,"23430",1005,,825005520,2024/10/04,5,4
857371177,"341","341",MARIBYRNONG,MARIBYRNONG CITY,S097 1994 p24,"24330",,,856190177,2024/10/04,5,1
857371174,"301","301",ARARAT,ARARAT RURAL CITY,G003 1996 p203,"20260",,,840422431,2024/10/04,1,4
857413503,"350","350",MOORABOOL,MOORABOOL SHIRE,S097 1994 p25,"25150",,,856969539,2024/10/07,2,3
857413502,"370","370",WELLINGTON,WELLINGTON SHIRE,S094 1994 p16,"26810",,,837408034,2024/10/07,1,8
857596454,"342","342",MAROONDAH,MAROONDAH CITY,S097 1994 p24,"24410",,,855619793,2024/10/10,5,2
