UFI,PFI,LGA_CODE,LGA_NAME,GAZ_LGA,GAZREGN,ABSLGACODE,TASK_ID,PFI_CR,UFI_OLD,UFI_CR,LABEL_USE_,total_station_count,station per 100000 person,fire_station_count,ambu_station_count,population,km2,persons/km2,poli_station_count,station_per_1000km2,station_per_100000
857371183,348,348,MONASH,MONASH CITY,S097 1994 p25,24970,,,856190182,4/10/2024,5,8,4,2,2,209268,81.5,2568.2,4,98.1595092,3.822849169
835228709,302,302,BALLARAT,BALLARAT CITY,G012 1995 p740,20570,,,831486335,12/03/2024,2,24,20,16,3,121050,739,163.8,5,32.47631935,19.82651797
860761153,349,349,MOONEE VALLEY,MOONEE VALLEY CITY,G050 2007 p3095,25060,,,857371176,17/12/2024,5,9,7,2,3,129732,43.1,3007.3,4,208.8167053,6.937378596
860761152,351,351,MERRI-BEK,MERRI-BEK CITY,G037 2022 p3871,25250,,,856969542,17/12/2024,5,8,4,2,4,186534,51,3661,2,156.8627451,4.28876237
863630832,325,325,GREATER BENDIGO,GREATER BENDIGO CITY,G016 1996 p30,22620,,,857596442,7/03/2025,1,42,33,29,7,125805,3000,41.9,6,14,33.3850006
863630831,310,310,CAMPASPE,CAMPASPE SHIRE,S004 1995 p13,21370,,,858016779,7/03/2025,1,32,84,22,3,38153,4519.1,8.4,7,7.081055962,83.87282782
865944258,369,369,WARRNAMBOOL,WARRNAMBOOL CITY,S063 1994 p15,26730,,,798566877,24/04/2025,5,5,14,3,1,36150,120.9,298.9,1,41.35649297,13.83125864
869805099,304,304,BASS COAST,BASS COAST SHIRE,S097 1994 p17,20740,,,812373714,3/07/2025,4,20,46,13,3,43557,865.8,50.3,4,23.1000231,45.91684459
871073248,345,345,MILDURA,MILDURA RURAL CITY,S004 1995 p17,24780,,,826546832,1/08/2025,1,25,43,14,4,57626,22081.9,2.6,7,1.132148955,43.38319509
873018034,340,340,MANNINGHAM,MANNINGHAM CITY,S158 1999 p10,24210,,,857596453,12/09/2025,5,6,5,4,0,131761,113.3,1162.4,2,52.95675199,4.553699501
